text,easy_text
"•	По предварительным данным, темп роста потребительского кредитования сохранился на высоком уровне марта (1,8%). 
•	Значительный рост может быть связан c увеличением доходов населения, благодаря которому сохраняется высокая потребительская активность 5. При этом в основном увеличивается сегмент кредитных карт, где ставки всегда были выше и поэтому менее чувствительными к изменению рыночных ставок. Кроме того, в условиях высоких ставок по вкладам населению может быть выгоднее совершать покупки, используя беспроцентный грейс-период и не затрагивая сбережения. Важно, что свыше 70% задолженности приходится на карты, открытые до 2023 года и, соответственно, не попадающие под действие МПЛ 6. Более того, 44% выдач составляют кредиты заемщикам с ПДН 50+, так как МПЛ по кредитным картам ограничивают не сами выдачи, а установление новых 
или увеличение старых лимитов. 
•	Эти особенности, а также стремление усилить действие макропруденциальных мер определили более жесткие МПЛ 6 на 3к24 в сегменте кредитных карт – выдачи с ПДН 80+ запрещены (5% в 4к23–2к24), а доля кредитов наличными с ПДН 50–80 в общих выдачах не должна превышать 20% (25% 
в 1–2к24).
•	В апреле доля проблемных корпоративных кредитов 7 немного снизилась (на 0,1 п.п., до 5,1%). В розничном кредитовании она осталась на уровне 4,2%, в том числе необеспеченных потребительских кредитов – 7,7%, ипотеки – 0,6%. 
•	На начало мая проблемные корпоративные кредиты покрыты индивидуальными резервами на 76%, общими – на 122% (соответствует уровню начала апреля), а розничные – на 91 
и 138% соответственно (91 и 138% на начало апреля).
•	Под действием МПЛ стандарты потребительского кредитования в целом продолжают улучшаться. Так, доля кредитов с ПДН 80+ в общем объеме выдач в 1к24 снизилась до 13 с 14% в 4к23, 
а с ПДН 50–80 – до 21 с 26%. Однако риски роста закредитованности граждан сохраняются, из-за того что основная часть потребительских кредитов выдается 
по высоким ставкам (54% имеют ПСК 25+ и еще почти 20% выдаются с ПСК 23–25). При этом самые дорогие кредиты зачастую выдаются заемщикам с повышенным уровнем 
риска, тогда как более платежеспособные заемщики откладывают получение кредита. 
•	Ранние индикаторы кредитного качества уже показывают, что кредиты наличными, выданные в период ужесточения ДКУ, стали чаще выходить на просрочку. Так, доля кредитов наличными с просрочкой более 30 дней на третий месяц с момента выдачи кредита выросла с 0,4% по кредитам, предоставленным в июле 2023 года, до 1,2% по кредитам, предоставленным в январе 2024 года 6.
•	Поэтому чтобы ограничить аппетит банков к кредитованию 
по высоким ставкам, с 01.07.24 будут повышены надбавки 
к коэффициентам риска по необеспеченным потребительским кредитам с ПСК 25–40 для всех категорий ПДН 6. 
","Время роста кредитования. Рост сохраняется. Ставка 1,8%. Люди зарабатывают больше. Потребители активны. Больше кредитов на карты. Высокие ставки по картам. Выплаты по вкладам выгоднее. Большинство задолженности по картам. Большинство заемщиков с высокой нагрузкой. Макропруденциальный лимит действует. Больше контроль над кредитами. Строжий контроль в 2024 году. Больше запрещений на кредиты. Меньше кредитов наличными. В апреле проблемные кредиты корпораций снизились немного. На 0,1 процентный пункт. До 5,1%. В розничном кредитовании осталось 4,2%. Необеспеченных потребительских кредитов – 7,7%. Ипотеки – 0,6%. На начало мая проблемные корпоративные кредиты покрыты резервами. Индивидуальными – на 76%. Общими – на 122%. Розничные кредиты покрыты на 91 и 138%. Макропруденциальный лимит помогает улучшить потребительское кредитование. Доля кредитов с долговой нагрузкой 80+ снизилась до 13%. В 2024 году снизилась с 14%. Доля кредитов с долговой нагрузкой 50–80 снизилась до 21%. В 2024 году снизилась с 26%. Риски роста закредитованности граждан сохраняются. Большинство потребительских кредитов выдается по высоким ставкам. 54% имеют стоимость 25+ и еще почти 20% выдаются с стоимостью 23–25. Дорогие кредиты часто выдаются рискованным заемщикам. Более платежеспособные откладывают получение кредита. Ранние показатели показывают, что кредиты наличными часто выходят на просрочку. Доля просроченных кредитов с просрочкой более 30 дней выросла. В июле 2023 года эта доля была 0,4%. В январе 2024 года стала 1,2%. Чтобы ограничить кредитование по высоким ставкам, с 01.07.24 повысят коэффициенты риска. Это касается потребительских кредитов от 25 до 40. Повышение касается всех категорий. Это связано с показателем долговой нагрузки, то есть отношения платежей к доходу."
"Завершили первый этап донастройки регулирования ОВП и рыночного риска. С 01.07.24 банки будут обязаны лучше контролировать валютный риск и обеспечивать адекватное покрытие капиталом рыночных рисков с учетом качества финансовых инструментов.
Встраиваем в регулирование поэтапное признание потерь по НЗА: запустили повторное обсуждение 
с учетом предложений рынка. 
Банки смогут растянуть создание резервов до 2032 года либо урегулировать НЗА. Планируем, что изменения вступят в силу до конца года (сейчас действует временное решение). 
Раскрыли подробности развития регулирования концентрации. Опубликовали доклад 
для общественных консультаций 
с основными предложениями. Концепция разработана 
на долгосрочный период 
и предполагает поэтапные изменения до 2030 года. После публичного обсуждения сроки внедрения и параметры ограничений могут быть скорректированы.
Создали Комитет по стандартам деятельности КО. Стандарты будут транслировать рынку лучшие практики предоставления финансовых услуг и управления 
в КО. Рассчитываем, что в текущем году Комитет выпустит стандарт ипотечного кредитования, 
который будет препятствовать использованию недобросовестных практик.
Вынесем доработанные подходы 
к резервированию розничных кредитов и факторинга 
на повторное ОРВ. В частности, зафиксируем перечень официальных документов для оценки доходов заемщика – ФЛ, при отсутствии которых разрешим включать такие ссуды величиной до 1 млн руб. в ПОС 
с формированием повышенного резерва (предварительно не менее 5,5%). Предполагается, что подходы заработают с 01.04.25.
Представим уточненные подходы 
к расчету обязательных нормативов КО: 
•	переведем БУЛ 
на финализированный подход;
•	повысим требования к компаниям инвесткласса для применения 
риск-веса 65%, исключив компании 
с низкими рейтингами либо без них;
•	расширим перечень обеспечения, снижающего кредитный риск (залог прав по счету, обеспечительный платеж); 
•	расширим периметр стимулирующего регулирования на проекты устойчивого развития, допустим ББЛ к участию. 
Планируем, что новые правила вступят в силу с 01.10.25.
Облегчаем требования к организации системы оплаты труда (СОТ) 
в небольших банках и уточняем правила выплаты отсроченных бонусов работникам, принимающим риски 
(риск-тейкерам). В КО с активами менее 
100 млрд руб. независимую оценку СОТ смогут проводить служба внешнего аудита или иной орган, подотчетный совету директоров. Четко пропишем, что отсроченные бонусы риск-тейкерам можно выплачивать равными долями 
в течение периода отсрочки, а также разрешим не откладывать выплату бонусов работникам с небольшими зарплатами. Планируем обсудить изменения с рынком в начале 3к24. 
Развиваем регулирование ВПОДК: 
•	по итогам ОФВ определим стратегические направления модернизации требований 
к организации ВПОДК и надзорной оценке качества ВПОДК 
(на 2024–2027 годы). Планируем опубликовать отчет об ОФВ в 3к24;
•	детализируем требования 
к управлению отдельными рисками, включая ПРБП и риск вынужденной поддержки, пересмотрим подходы 
к надзорной оценке. Рассчитываем, что изменения вступят в силу 
в 2п25.
",Завершили первый этап настройки регулирования. Открыли валютную позицию и рыночный риск. С 01.07.24 банки должны контролировать валютный риск лучше. Банки должны обеспечивать покрытие рыночных рисков. Качество финансовых инструментов должно учитываться. Запустили обсуждение потерь по заблокированным активам. Рассмотрели предложения рынка. Банки могут отложить создание резервов до 2032 года. Банки могут урегулировать заблокированные активы. Изменения вступят в силу до конца года. Временное решение действует сейчас. Опубликовали доклад для общественных консультаций. В докладе есть основные предложения. Сделали план на долгий срок. Изменения будут поэтапными. Сроки и условия могут поменяться. Создали Комитет по стандартам. Стандарты помогут улучшить финансовые услуги. Комитет выпустит стандарт ипотеки. Этот стандарт запретит плохие практики. Предложим новые подходы к кредитам. Фиксируем список необходимых документов. При отсутствии документов разрешим кредиты до 1 млн руб. Основные средства увеличатся. Резерв будет больше. Это начнется с апреля 25 года. Банки с универсальной лицензией получат новый подход. Компании инвесткласса получат строжие требования. Компании с низкими рейтингами исключатся. Банки получат новые способы снижения риска. Проекты устойчивого развития получат больше внимания. Банки с базовой лицензией смогут участвовать. Новые правила вступят в силу с октября 25 года. Требования к организации оплаты труда упростятся для небольших банков. Правила выплаты отсроченных бонусов изменятся. Банки с малыми активами смогут проводить независимую оценку. Выплаты отсроченных бонусов можно будет делать частями. Выплаты бонусам работникам с малыми зарплатами не будут откладываться. Изменения обсудят с рынком в начале 2024 года. Будут уточнены требования к управлению рисками. Отчет об этом опубликуют в 2024 году. Изменения начнут работать в 2:25.
"Уточним состав информации о рисках, представляемой КО в Банк России. 
В отчет о рисках банки теперь будут включать расчет операционного риска БГ и сведения о риске секьюритизации по ПВР на соло-основе. Предполагается, что изменения заработают в 2п25.
Ключевые изменения, которые уже вступили в силу:
•	ввели новый лимит на балансовые ОВП (50% от капитала), лимитируем ОВП от базового капитала с учетом неаудированной прибыли. Эти меры нацелены на то, чтобы КО лучше балансировали валютную структуру своих активов 
и обязательств; 
•	перешли на расчет и лимитирование экономической ОВП (покрытие валютного риска капиталом – по-прежнему 
от регулятивной ОВП). Это облегчит КО управление ОВП 
для соблюдения лимитов;
•	ввели более гибкие режимы соблюдения лимитов ОВП. Новый подход даст КО больше времени для покрытия разрывов ОВП, которые образовались в экстренной ситуации или из-за внешних причин, что снизит риски избыточной рыночной волатильности валютных курсов.
Дополнительно с 01.10.24 начнут действовать изменения 
в оценке качества срочных сделок: четко определены критерии сделок, которые не могут быть зачтены для снижения ОВП по причине их «схемности» или ненадежности контрагента.
Кроме того, завершаем работу по введению новой редакции формы 0409634 по ОВП. Планируется, что она вступит в силу с 01.01.25. Чтобы КО корректно предоставляли данные по ОВП до этого момента, направили им разъяснения по заполнению действующей редакции формы. 
Устранили избыточное покрытие капиталом низкорисковых 
и хеджирующих инструментов, в частности:
•	исключили из расчета рыночного риска ПФИ, хеджирующие или структурирующие кредитный портфель КО;
•	стали использовать рейтинги российских КРА для оценки риска по облигациям банков-резидентов вместо страновой оценки РФ;
•	разрешили проводить взаимозачет позиций по ценным бумагам против позиций по фьючерсам на их продажу.
Кроме того, реализовали изменения в части дополнительного покрытия капиталом высокорисковых инструментов и сделок, маскирующих реальную подверженность рыночному риску:
•	исключили из торгового портфеля неликвидные инструменты (некотируемые акции, ценные бумаги на неактивном рынке 
с длительным периодом удержания либо с оценками справедливой стоимости без рыночных параметров);
•	ввели требование о покрытии позиций в алмазах 
с повышенными коэффициентами риска в силу 
их неторгуемости или высоких рисков вложений 
(риск-вес эквивалентен взвесу 400% в кредитном риске 
по некотируемым акциям для краткосрочной продажи).
Таким образом, улучшится риск-ориентированная дифференциация покрытия капиталом позиций в торговой книге, а фиктивное хеджирование и переупаковка активов между торговым и банковским портфелями не будут занижать требуемый капитал. 
",Банк России говорит о рисках. Банки должны включать новый расчет в отчеты. Новый расчет касается операционного риска. Также нужны данные о риске секьюритизации. Изменения начнут работать в 2025 году. Ввели новый лимит на валютные позиции. Лимит составляет 50% от капитала. Это поможет лучше балансировать валютные активы. Перешли на новый расчет валютного риска. Новый метод облегчит управление валютными рисками. Ввели более гибкие режимы соблюдения лимитов. Это даст больше времени для покрытия разрывов. Это снизит риски избыточной рыночной волатильности. С 01.10.24 начнут действовать новые правила. Критерии для оценки качества срочных сделок определены. Некоторые сделки не могут быть учтены из-за схемности. Заканчиваем работу по новой форме 0409634. Она начнёт действовать с января 2025 года. Отправили разъяснения кредитным организациям. Это поможет им правильно заполнять старую форму. Убрали лишнее покрытие капиталом для некоторых инструментов. Исключили из расчета риск для партнерского финансирования. Начали использовать рейтинги российского агентства вместо страны. Разрешили взаимозачет позиций по ценным бумагам на продажу фьючерсов. Изменили правила для покрытия высокорисковых инструментов. Исключили из портфеля неликвидные инструменты. Ввели требование о покрытии позиций в алмазах с повышенным риском. Это поможет правильно оценивать риски. Теперь риск-ориентированное покрытие будет лучше. Фиктивное хеджирование и переупаковка активов не будут занижать требуемый капитал.
"Дополнительно с 01.10.24 начнут действовать изменения 
в части норм по оценке качества ПФИ: исключается возможность сворачивать позиции по финансовым инструментам против позиций по «мусорным» ПФИ (аналогично подходу при расчете ОВП). 
Проект указания предусматривает следующие нормы 
по резервированию НЗА:
•	все НЗА классифицируются в V к.к.;
•	резервы формируются с 31.12.24 (20% с учетом начала 
десятилетнего периода рассрочки в 2023 году) и далее 
не позднее последнего числа каждого года до 31.12.32 включительно;
•	по НЗА банк может выбрать один из двух подходов 
к формированию резервов:
−	первый (пропорциональный) подход предусматривает постепенное формирование резерва по каждому отдельному НЗА, учитываемому на балансе КО. Величина резерва, созданного 31.12.24, должна составлять не менее 20%. Далее согласно графику;
−	второй (портфельный) подход предусматривает снижение совокупной стоимости всех НЗА либо за счет постепенного формирования резервов, либо за счет их отрицательной переоценки и урегулирования. Урегулированием считается списание актива с баланса в период с 18.02.22 по дату формирования резерва в результате: 
1)	взаимозачета требований и обязательств, в том числе 
по решению суда;
2)	выбытия активов при их реализации или уступке прав требования;
3)	выделения таких активов в отдельное юридическое 
лицо в соответствии со статьей 8 Закона № 292-ФЗ.
Предполагаем, что портфельный подход больше заинтересует банки, которые планируют выделять НЗА 
и обязательства перед недружественными кредиторами 
в отдельные компании, чтобы снизить нагрузку на капитал;
•	по НЗА, приобретенным после 01.08.22, а также по всем начисленным доходам сразу формируется резерв в размере 100% (график рассрочки на них не распространяется, чтобы 
в отчетности КО не отражались доходы, которые не будут получены).
Цель концепции – настроить честное регулирование риска концентрации, без регуляторных льгот, позволяющих наращивать опасную для финансовой устойчивости КО концентрацию. Предложенные подходы позволят сохранить возможность банков по кредитованию крупнейших российских компаний и ограничить риски концентрации за счет эффективного распределения заимствований по рынку.
","С 1 октября 2024 начнутся новые правила. Новые правила касаются оценки качества партнерского финансирования. Нельзя сворачивать позиции по финансовым инструментам против «мусорных» активов. Новые правила говорят о резервировании невозмещаемых заблокированных активов. Все такие активы будут считаться в категории V. Резервы начнут формироваться с 31 декабря 2024 года. Резервы будут расти до 31 декабря 2032 года. Банк может выбрать один из двух подходов к резервированию. Первый подход предусматривает постепенное формирование резервов. Второй подход предусматривает снижение стоимости активов. Урегулирование активов может быть сделано разными способами. Одним из способов является списание актива с баланса. Другой способ — реализация активов или уступка прав требования. Еще один способ — выделение активов в отдельное юридическое лицо. Портфельный подход будет интересен для банков, которые хотят выделить активы. Для активов, приобретенных после 1 августа 2022 года, резерв будет 100%. Цель этих правил — регулирование рисков и концентрации рисков. Правила не должны давать льгот для увеличения рисков. ки смогут кредитовать крупные компании. Это поможет избежать риска. Риски избежим за счет хорошего распределения кредитов."
"Ключевые предложения:
Этап 1 (конец 2024 года): завершим санкционные послабления для расчета Н6, Н21 и Н25.
Этап 2 (с 2026 года). 
Уточним критерии связанности для Н25 и поэтапно (в течение пяти лет) внедрим Н30 для СЗКО и подход к учету риска концентрации для Н6 на эмитента по сделкам репо (см. стр. 16) с контрагентами, имеющими низкую оценку собственной кредитоспособности (ОСК). 
Параллельно смягчим ряд норм: 
•	предоставим возможность не объединять в группу связанных заемщиков для Н6 операционно и финансово независимые компании с высокой ОСК при их соответствии критериям операционной независимости; 
•	исключим из группы связанных с банком лиц (Н25) компании с высокой ОСК при условии рыночности сделок;
•	разрешим не считать Н6 для консолидируемых лизинговых 
и факторинговых дочерних компаний (а также Н25, 
если эти компании не финансируют бизнес акционера) 
при выполнении требований к прозрачности 
финансирования и оценке рисков на конечных заемщиков (лизингополучателей и дебиторов).
Этап 3 (с 2028 года): отменим льготу по 50%-ному риск-весу при расчете нормативов концентрации для госкомпаний 
с выручкой более 2% ВВП.
В 2031 году отменим норматив Н21 для СЗКО, являющихся 
ГКО БГ, после полного внедрения норматива Н30, который будет более консервативно ограничивать риск концентрации 
(без учета риск-весов). 
Кроме того, одновременно с мерами Этапа 2 (с 2026 года) предлагаем новые механизмы управления рисками 
и дополнительные стимулы для снижения концентрации: 
•	внедрить «оранжевую зону» для нормативов концентрации (кроме Н25), то есть установить приемлемый уровень превышения, который приводит к повышенным взносам 
в ФОСВ, а в перспективе – в планируемый Фонд поддержки банковского сектора (ФПБС);
•	начать проработку унифицированных правил синдицированного кредитования в рамках Комитета 
по стандартам деятельности КО и рассмотреть возможность учитывать такие кредиты высоконадежным заемщикам 
с рейтингами в ННКЛ в составе ВЛА III уровня;
•	создать ФПБС, который, в частности, будет предоставлять платные поручительства для покрытия рисков кредитной концентрации банков, выходящих за пределы максимального ограничения «оранжевой зоны» нормативов;
•	изменить подходы к расчету концентрации по обеспеченным сделкам – полный переход риска по обеспеченной части кредитного требования с заемщика на гаранта либо поручителя, а также признание CDS в снижении риска, 
но с определенными требованиям к качеству контрагента 
и сделки (прорабатывается). 
Ответы на вопросы, поставленные в докладе, а также комментарии и предложения к нему принимаются до 31.07.24. 
Предложения участников рынка, поступившие в ходе публичных консультаций, будут приняты во внимание 
при проектировании целевого регулирования.
",Конец 2024 года: закончим снимать санкции. Начало 2026 года: уточним критерии связности. Начало 2026 года: внедрим новые нормы поэтапно. Начало 2026 года: сделаем некоторые нормы более гибкими. Начало 2026 года: позволим не объединять независимые компании. Начало 2026 года: исключим из группы связанных компании с хорошей кредитоспособностью. Начало 2026 года: разрешим не считать некоторые дочерние компании связанными. Начало 2028 года: отменим льготу для крупных госкомпаний. 2031 год: отменим старый норматив для крупных банков. Начало 2026 года: добавим «оранжевую зону» для нормативов. Начало 2026 года: начнем работать над правилами синдицированного кредитования. Начало 2026 года: создадим фонд для поддержки банков. Начало 2026 года: изменим подход к расчету концентрации по обеспеченным сделкам. ы на вопросы принимаются до 31.07.24. Комментарии тоже принимаются. Предложения участников будут учтены. Это поможет проектировать регулирование.
"Стандарты – это новый формат мягкого регулирования. 
На площадке Комитета банки совместно с Банком России 
будут находить сбалансированные регулятивные решения, учитывающие интересы рынка и не создающие системных рисков. 
Комитет разрабатывает и утверждает стандарты, взаимодействует с рынком и Банком России. Ключевая тема текущей повестки — ипотечный стандарт. Также планируется, что в будущем Комитет сможет публиковать информацию о лучших практиках в деятельности банков и выявленных зонах риска. 
Чтобы обеспечить соблюдение стандартов банками 
и дисциплинировать их, в этом году будет подготовлен надзорный стандарт. В перспективе рассматривается возможность учета информации о несоблюдении КО стандартов деятельности в надзорной оценке.
28.05.24 на площадке Ассоциации банков России состоялось первое заседание Комитета: было принято решение о создании рабочих групп для разработки ипотечного и надзорного стандартов, включенных в план работы Комитета на текущий год. 
Неприменение ограничения ПСК с 16.08.23 по 30.06.24 позволило банкам адаптировать свои процентные политики 
к росту ключевой ставки и сохранить доступность кредитования. Дальнейшее продление моратория нецелесообразно. 
С 01.07.24 банки при выдаче кредитов (изменении их условий, связанном с увеличением ставки или приводящем к изменению категории кредита) должны будут учитывать среднерыночные значения ПСК, опубликованные на сайте Банка России, 
и не допускать их превышения более чем на треть. 
При этом если банк нарушил ограничение ПСК 
по потребительским кредитам (займам) для заемщиков 
с повышенной платежной нагрузкой (ПДН 60+), меры применяться не будут. Кроме того, мы проинформировали банки о подходах, которыми нужно руководствоваться при сопоставлении ПСК из кредитных договоров с опубликованными 16.05.24 среднерыночными значениями. Это облегчит им задачу по сопоставлению ставок с учетом специфики собственных кредитных продуктов.
В связи с отменой механизма БУДВ утратило актуальность Указание № 5697-У (отменено с 01.07.24 Указанием
№ 6725-У), которое включало правила расчета максимальной доходности банков по вкладам. Тем не менее мы продолжим учитывать информацию о максимальной доходности для мониторинга активности банков на рынке вкладов и анализа динамики ценообразования привлеченных ресурсов граждан, 
а также будем публиковать среднерыночные значения максимальной доходности вкладов на сайте Банка России 
в информационных целях. Указанные выше правила будут действовать в формате рекомендаций до конца 2024 года, чтобы банки могли ими руководствоваться при подготовке отчетности по форме 0409119 «Данные о максимальной доходности по вкладам физических лиц». С 2025 года они станут обязательными на нормативном уровне, поскольку будут включены в порядок составления этой формы отчетности.
После изменений в Закон о ССВ уточнили процедуру формирования КО реестра обязательств перед вкладчиками: теперь банкам больше не требуется вносить в реестр информацию о кредитах, выданных вкладчику. С 21.09.24 
по Закону о ССВ при наступлении страхового случая (отзыва или аннулирования лицензии у банка) сумма страхового возмещения будет выплачиваться вкладчику – ФЛ, даже если он должен банку по кредиту. При этом человек в обычном порядке продолжит обслуживать кредиты в КО, к которой перейдут активы банка, лишившегося лицензии.
После отмены БУДВ у банков нет оснований уплачивать дополнительную и повышенную дополнительную ставку страховых взносов, если ставки по вкладам превысили пороговые значения БУДВ. В связи с этим мы уточнили: 
•	порядок, по которому Банк России направляет в ГК «АСВ» сведения о соответствии банков критериям уплаты повышенной дополнительной ставки страховых взносов, 
а также порядок, по которому ГК «АСВ» информирует 
эти банки о необходимости уплатить повышенную дополнительную ставку страховых взносов; 
•	механизм обращения банка к регулятору с ходатайством 
о неотнесении его к банкам, уплачивающим повышенную дополнительную ставку страховых взносов.
","Стандарты — это новый формат правил. Банки и Банк России находят хорошие решения. Комитет делает стандарты. Он работает с рынком и Банком России. Сейчас важен ипотечный стандарт. В будущем Комитет будет публиковать лучшие практики. Он будет показывать риски. Чтобы банки соблюдали стандарты, делают надзорный стандарт. В будущем информация о нарушениях будет в оценке надзора. summarysummary Вклады больше не считают так. Правило изменили. Новое правило будет рекомендацией. С 2025 года оно станет обязательным. Закон изменили. Теперь банки не записывают кредиты в реестр. Если банк закрывается, вкладчики получат деньги. Вкладчики продолжат платить по кредитам. Кредиты перейдут в другой банк. Новый закон помогает вкладчикам. После отмены Базовый уровень доходности вкладов. Банки не должны платить дополнительные ставки. Это происходит, если ставки по вкладам выше. Базового уровня доходности вкладов. Мы изменили порядок. Банк России отправляет информацию. О том, какие банки платят повышенные ставки. ГК «Агентство по страхованию вкладов» получает эту информацию. Оно сообщает банки. О необходимости платить повышенные ставки. Банки могут обращаться. С регулятором за исключением. Отнесения к банкам, платящим повышенные ставки."
